lunar,0,0,2
lunas,0,0,1
macho,0,0,1
madre,7,18,13
magia,0,0,3
magir,0,0,1
magna,0,0,1
magos,0,0,1
majos,0,1,0
malas,5,1,0
males,0,1,0
malos,0,8,3
manco,0,1,0
manda,0,1,2
mande,0,1,0
mando,0,2,2
manga,0,2,0
mango,0,0,1
manos,23,10,36
mansa,1,0,0
manta,2,0,0
manto,0,1,1
mapas,0,1,0
mares,0,1,1
masas,1,2,0
matan,1,0,0
matar,9,2,9
matas,0,0,3
maten,0,1,1
mates,0,0,2
matto,0,0,1
mayne,0,0,1
mayor,5,29,34
mazas,0,1,0
meced,0,1,0
media,12,2,1
medio,14,16,25
medir,0,1,0
mejor,15,15,14
mella,0,1,0
menor,7,7,3
menos,15,29,11
mente,0,3,1
meses,12,6,1
metal,0,0,1
meter,1,0,0
metes,0,0,1
metro,0,0,1
miedo,14,12,10
miles,0,1,1
mimos,1,0,0
mirar,3,7,1
miras,0,2,0
misma,7,21,17
mismo,32,64,40
mitad,2,1,8
modas,0,1,0
modos,0,0,1
mojar,1,0,0
molde,1,0,1
momia,0,1,0
monja,0,6,0
monta,0,1,1
monte,3,0,0
moral,1,4,1
morir,6,13,11
mosul,0,0,1
mover,3,2,1
mozos,2,0,0
mucha,2,8,1
mucho,15,47,35
muera,0,1,1
muere,0,1,0
mueva,0,1,0
mujer,48,73,32
mulos,0,0,1
mundo,15,19,30
muros,0,4,2
nacen,2,0,0
nacer,0,0,1
nadar,0,0,1
nadie,14,9,26
nariz,4,2,5
natal,0,0,3
naves,0,0,4
necia,0,0,1
negar,1,1,1
negra,8,11,8
negro,8,24,32
nieta,1,0,0
nieto,0,0,1
nieve,0,0,1
nimia,0,1,0
nivel,0,7,0
noble,0,8,4
noche,32,19,69
notar,1,5,1
notas,2,6,2
novel,0,1,0
novia,1,0,0
novio,1,0,0
nubes,1,1,0
nucas,1,0,0
nudos,1,0,0
nueva,1,4,9
nueve,4,4,3
nuevo,5,13,14
nunca,11,30,26
oasis,0,1,0
obeso,0,1,0
obrar,0,4,5
obras,0,2,6
ocios,0,1,3
ocupa,0,2,0
ocupo,0,1,0
odian,0,1,0
odiar,0,2,0
odios,1,0,0
odres,0,0,1
oirle,0,0,1
oirlo,0,0,1
oirme,0,0,2
onzas,1,1,1
opaco,0,1,0
orden,5,35,4
oreja,1,1,0
osaba,0,2,0
otras,6,11,29
otros,12,25,22
pablo,0,7,0
paces,1,1,0
padre,11,130,38
pagar,0,1,3
pagas,1,0,0
palas,1,0,0
palco,1,0,0
palma,0,0,2
palos,1,1,0
panes,2,0,0
panza,4,0,0
papel,5,3,1
parar,1,2,2
parco,0,0,2
pardo,1,2,0
pared,7,3,4
parra,1,0,0
parta,1,1,0
parte,8,34,20
parto,0,2,0
pasan,2,2,1
pasar,9,16,18
pasea,0,0,1
paseo,0,3,0
pasmo,0,1,0
pasos,4,14,2
pasto,0,1,0
patas,1,2,1
patio,7,3,4
pausa,0,1,0
pauta,0,0,1
payne,0,0,1
peces,2,0,29
pecho,10,16,9
pedir,1,6,2
pedro,0,3,0
pegar,1,1,1
pegue,0,0,1
pelar,0,1,0
pelea,0,1,0
pelos,2,1,0
penas,0,1,5
pende,0,0,1
pepet,4,0,0
perla,0,0,4
perra,1,0,4
perro,2,0,4
persa,0,0,2
pesan,0,0,1
pesar,11,36,13
pesca,6,0,0
piaba,1,0,0
piano,0,1,0
piden,0,1,0
pides,0,0,3
pieza,0,2,0
pille,1,0,0
pillo,4,0,0
pinta,1,0,0
pipas,1,0,0
pisar,0,1,0
place,0,2,0
plata,2,0,10
playa,11,1,2
plaza,4,25,2
plazo,1,0,2
plena,3,1,0
pleno,3,1,1
plomo,3,1,4
pluma,0,3,7
pobre,42,7,12
pocas,1,8,0
pocos,4,5,5
poder,6,15,15
poema,0,1,5
poeta,0,4,6
pollo,0,1,0
polvo,4,1,5
ponen,1,0,1
poner,2,8,3
ponga,1,4,1
pongo,1,0,3
poros,0,1,0
porte,0,1,0
posea,0,1,1
posee,0,5,0
poseo,0,0,2
posta,0,1,0
poste,0,0,1
potro,0,1,0
prado,0,1,0
presa,0,3,1
preso,2,0,0
prima,0,1,0
primo,0,0,7
prior,0,2,0
prisa,0,4,3
priva,0,1,0
prole,2,0,0
pudor,0,1,0
pueda,1,10,7
puede,5,37,14
puedo,1,14,11
pugna,0,1,0
pulpa,0,0,1
pulso,1,0,0
punta,2,3,2
punto,0,15,1
puras,0,0,1
queda,2,4,6
queja,0,1,1
queje,0,1,0
quejo,0,1,0
quema,0,0,2
quico,1,0,0
quien,19,51,38
quise,1,0,7
quiso,3,7,15
quita,0,0,1
rabia,0,6,0
ramas,0,0,1
ramos,1,0,0
ranas,3,0,0
rapaz,0,1,0
rapto,0,2,1
raras,1,1,0
raros,0,1,0
